,Total Cost,,,
Gopro Hero 8 x 2 on ebay,210.00,,https://www.ebay.com/itm/278360251221?_skw=gopro+hero+8&itmmeta=01M2E00ANG38HAAZ73474AD5RT&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBSpt19KjIgg%2B4KkoZW8PvYL9tPJG3wJurVehH7l633H9M0j74S3JvOXw%2FsbT6OZJT44FbKBrLERGdCTxEjd9QmqQx2YIn%2B520kaWsOyYuzZulSTPxOew%2FEssKdE9ilNO91i%2F54EAa6TWiopjPLVu8fdR68%2Fh0I5N9HxSrqaOeKXtxRGqjSM7cRZ6CyPBsL10JGMIKfeXqdh4XcU54nCpJ1NCseNTC9UqP6Ku7Tw%2FEdZes6no2kPU1bm7IQqrkH4Vxyzdy6J8F5iySifkiPIcBjG%2FN2SvrinITTQ1x97q1NSw%3D%3D%7Ctkp%3ABk9SR_aqgcCTaA,https://www.ebay.com/itm/406615524630?_skw=gopro+hero+8&itmmeta=01M2E00ANJZ7686VY20ZCVY7HB&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDDeZb7WNIbrE0jmK3Qw%2FTW8lCCo8BJy%2BX2%2FjzRT4GkXhUIJyCWRirVrV69Th9Z%2BTxG%2Fpz9UHIXa0%2FTDSzk2KcpCNDcYQmaRHB8ij7T7XszJR7MKghwvsMV80HxBPgA6KRSYbKlvZwu%2BIpT1AkTM%2BIokjkcgGrP58brzO5nUPfTC59i7PG0fifhl3Sfi7Jf2MbG%2B5Ufahp7OK%2FeRcxK85l8aIl3BqlTvm6flciqxvnRmUZZkIjM0kXNy84B51Zz%2BQI%3D%7Ctkp%3ABk9SR_qqgcCTaA
2x big oring (80 OD X 70 ID),13.00,,https://www.aliexpress.us/item/3256801511930688.html?aff_fcid=e57ab4256701489f8a0ff6c861343ffc-1789315512959-04226-_DlgpX4H&tt=CPS_NORMAL&aff_fsk=_DlgpX4H&aff_platform=portals-tool&sk=_DlgpX4H&aff_trace_key=e57ab4256701489f8a0ff6c861343ffc-1789315512959-04226-_DlgpX4H&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,
Acrylic cement,21.99,,https://www.amazon.com/16383-Acrylic-Plastic-Low-VOC-Fast-Setting/dp/B0GX7BV2MW/ref=sr_1_1,
Acrylic sheet ,27.99,,https://www.amazon.com/12-White-Acrylic-Sheet-Plexiglass/dp/B0F4K2CSG9/ref=sr_1_3,
acrylic pipe Ø90 × 5 × 80 × 500mm,68.42,,https://www.ebay.com/itm/358193843642?_skw=acrylic+tube&itmmeta=01KXMQHSF01GY1WHCQRDGK03KN&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDpWzJhlRvjRB%2BKfX9Xa45kyJsAELDVcI2cwCl9ybugsnQ3%2FiaXWtfR0KeywabwnGXIydp%2F9adb7pi2SMvj%2FxYmqUVS1Lo9VL7LK8CiXUmgngQfMBux0pPBvNQR18w0BwaZRY9lVJlALnj2a1if7neDJ8XdsGO4HybQdH2KAdKTUDdz6S8sXXCnwmIP3ZF6XmqhNm22mKZLbTxzEkxAvi%2FxokpvyvgxICb%2FnjADYCTyyaXL4yWqKcWg%2F2dcygyQr7XjzgulWvrAWTf%2BhEtihShxrF0iYOw8FowU1JgIuCCkPw%3D%3D%7Ctkp%3ABk9SR-yXx5ftZw,
Buck converters,10.18,,https://www.aliexpress.us/item/3256805580655141.html?spm=a2g0o.productlist.main.37.21ee27f1lL6vTH&algo_pvid=1b4076e9-f86f-4e82-90bf-77968b8c7495&algo_exp_id=1b4076e9-f86f-4e82-90bf-77968b8c7495-36&pdp_ext_f=%7B%22order%22%3A%221020%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.26%210.99%21%21%215.26%210.99%21%40210327ef17841790976488190e0f12%2112000046306380854%21sea%21US%217791017716%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aaaf7a786%3Bm03_new_user%3A-29895%3BpisId%3A5000000210913316&curPageLogUid=rWyJhG2mh41U&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005766969893%7C_p_origin_prod%3A,
USB A breakout boards,6.99,,https://www.amazon.com/SJZBIN-Breakout-Adapter-Female-Socket/dp/B09N8X9N4Y/ref=sr_1_2,
USB C breakout board,7.49,0.00,https://www.amazon.com/MTDELE-Connector-Adapter-Breakout-Compatible/dp/B0F3WWTX78/ref=sr_1_1_sspa?crid=O2MGAJDZ275J&dib=eyJ2IjoiMSJ9.tSO1pD0vgsChmcr3V056RyPvvwh6YeB3DHtFP43l6Nq9YVyYrTMjqtKxUe_4--JkvFoyPlZSkaWJmC8Ubk5d2WQb2E4qTnSu2_wLqu9pCTSzygQDYRqyFFA-KVtBI-fpRCuPy0B3mn-bTRJmMSpZJP_Dho00D-JSnG5sepS2mj0gW6zGLUM7XfRhebzb54JwXP77nxUjDsudx4mpN2WFq3RM-kd5WAbjZu-Axn5Lw0s.l8SDCM8yQYcBTrKOx0vZ9CKT9v1CjgqujR6icLBMS74&dib_tag=se&keywords=USB+C+breakout&qid=1789314658&sprefix=usb+c+breakout%2Caps%2C180&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
Cooling fan,14.04,,https://www.aliexpress.us/item/2251832621295326.html?aff_fcid=113d0d8429644baebd36f53cd02b140a-1789313362024-07685-_DDQCnFH&tt=CPS_NORMAL&aff_fsk=_DDQCnFH&aff_platform=shareComponent-detail&sk=_DDQCnFH&aff_trace_key=113d0d8429644baebd36f53cd02b140a-1789313362024-07685-_DDQCnFH&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,
12x 5 gram metal weights,2.18,,https://s.click.aliexpress.com/e/_DFjnm9J,
Buoyancy foam (10mm),0.00,,https://s.click.aliexpress.com/e/_okNslAm,
2 x ESC 1in1 (30A+),38.87,,https://s.click.aliexpress.com/e/_DkRcx6d,
