,Name,Cost per unit,Shipping to US,photo,primary source,source 2,source 3,
,pink highlighted = I need ,,,,,,,
,,,,,,,,
,3x Molex male connector 20pin + pins,5.32,0.00,,https://www.amazon.com/Molex-Circuits-Receptacle-Terminals18-24-Mini-Fit/dp/B079DCBCBZ/ref=sr_1_4,https://www.amazon.com/Molex-Circuits-Receptacle-Terminals18-24-Mini-Fit/dp/B079DCBCBZ/ref=sr_1_17?crid=4ZSDBR75V5EM&keywords=molex+mini+fit+junior+20pin&qid=1656426654&sprefix=molex+mini+fit+junior+20pin%2Caps%2C149&sr=8-17,https://s.click.aliexpress.com/e/_omMvDhG,
,2x big oring (80 OD X 70 ID),5.75,4.44,,https://www.aliexpress.us/item/3256801511930688.html?aff_fcid=e57ab4256701489f8a0ff6c861343ffc-1789315512959-04226-_DlgpX4H&tt=CPS_NORMAL&aff_fsk=_DlgpX4H&aff_platform=portals-tool&sk=_DlgpX4H&aff_trace_key=e57ab4256701489f8a0ff6c861343ffc-1789315512959-04226-_DlgpX4H&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,https://s.click.aliexpress.com/e/_DBGTF93,https://www.amazon.com/Mr-Ring-5X60-Metric-Viton/dp/B091B9QRPZ/ref=sr_1_4?crid=3T2QRTBDPCJF2&keywords=o+ring+60x5&qid=1656428978&sprefix=oring+60x5%2Caps%2C146&sr=8-4,
,acrylic pipe 80x70mm 250mm length,55.00,18.48,,https://www.ebay.com/itm/358193843642?_skw=acrylic+tube&itmmeta=01KXMQHSF01GY1WHCQRDGK03KN&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDpWzJhlRvjRB%2BKfX9Xa45kyJsAELDVcI2cwCl9ybugsnQ3%2FiaXWtfR0KeywabwnGXIydp%2F9adb7pi2SMvj%2FxYmqUVS1Lo9VL7LK8CiXUmgngQfMBux0pPBvNQR18w0BwaZRY9lVJlALnj2a1if7neDJ8XdsGO4HybQdH2KAdKTUDdz6S8sXXCnwmIP3ZF6XmqhNm22mKZLbTxzEkxAvi%2FxokpvyvgxICb%2FnjADYCTyyaXL4yWqKcWg%2F2dcygyQr7XjzgulWvrAWTf%2BhEtihShxrF0iYOw8FowU1JgIuCCkPw%3D%3D%7Ctkp%3ABk9SR-yXx5ftZw,,for some EU countries,
,Gopro Hero 12 x 2 on facebook marketplace,250.00,,,,,,
,USB C breakout board,$8,0.00,0.00,https://www.amazon.com/MTDELE-Connector-Adapter-Breakout-Compatible/dp/B0F3WWTX78/ref=sr_1_1_sspa?crid=O2MGAJDZ275J&dib=eyJ2IjoiMSJ9.tSO1pD0vgsChmcr3V056RyPvvwh6YeB3DHtFP43l6Nq9YVyYrTMjqtKxUe_4--JkvFoyPlZSkaWJmC8Ubk5d2WQb2E4qTnSu2_wLqu9pCTSzygQDYRqyFFA-KVtBI-fpRCuPy0B3mn-bTRJmMSpZJP_Dho00D-JSnG5sepS2mj0gW6zGLUM7XfRhebzb54JwXP77nxUjDsudx4mpN2WFq3RM-kd5WAbjZu-Axn5Lw0s.l8SDCM8yQYcBTrKOx0vZ9CKT9v1CjgqujR6icLBMS74&dib_tag=se&keywords=USB+C+breakout&qid=1789314658&sprefix=usb+c+breakout%2Caps%2C180&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,https://www.amazon.com/MTDELE-Connector-Adapter-Breakout-Compatible/dp/B0F3WWTX78/ref=sr_1_1_sspa?crid=O2MGAJDZ275J&dib=eyJ2IjoiMSJ9.tSO1pD0vgsChmcr3V056RyPvvwh6YeB3DHtFP43l6Nq9YVyYrTMjqtKxUe_4--JkvFoyPlZSkaWJmC8Ubk5d2WQb2E4qTnSu2_wLqu9pCTSzygQDYRqyFFA-KVtBI-fpRCuPy0B3mn-bTRJmMSpZJP_Dho00D-JSnG5sepS2mj0gW6zGLUM7XfRhebzb54JwXP77nxUjDsudx4mpN2WFq3RM-kd5WAbjZu-Axn5Lw0s.l8SDCM8yQYcBTrKOx0vZ9CKT9v1CjgqujR6icLBMS74&dib_tag=se&keywords=USB+C+breakout&qid=1789314658&sprefix=usb+c+breakout%2Caps%2C180&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,
,Cooling fan,12.00,,,https://www.aliexpress.us/item/2251832621295326.html?aff_fcid=113d0d8429644baebd36f53cd02b140a-1789313362024-07685-_DDQCnFH&tt=CPS_NORMAL&aff_fsk=_DDQCnFH&aff_platform=shareComponent-detail&sk=_DDQCnFH&aff_trace_key=113d0d8429644baebd36f53cd02b140a-1789313362024-07685-_DDQCnFH&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Pressure sensor GY-MS5837,19.47,0.00,,https://s.click.aliexpress.com/e/_DelXMPr,https://s.click.aliexpress.com/e/_DlrplMZ,https://www.amazon.com/GY-MS5837-Waterproof-Pressure-Sensor-Module/dp/B09MKL4G1Y/ref=sr_1_1?crid=3AJ3DIW4U1E9F&keywords=GY-MS5837&qid=1656429598&sprefix=gy-ms5837%2Caps%2C166&sr=8-1&th=1,
,6x Sunnysky motor (980KV),80.00,0.00,,https://s.click.aliexpress.com/e/_DcYTy0v,slightly faster delivery,https://s.click.aliexpress.com/e/_DEd4fLL,
,12x 5 gram metal weights,1.80,0.00,,https://s.click.aliexpress.com/e/_DFjnm9J,https://www.amazon.com/Supply-Steel-Stick-Wheel-Weights/dp/B0068EQ9W0/ref=sr_1_1?crid=ZSHXC4DSBMVX&keywords=weights+rim+5+gram&qid=1656431744&sprefix=weights+rim+5+gra%2Caps%2C172&sr=8-1,https://s.click.aliexpress.com/e/_DEcy23n,
,2x 5W/3W LED on PCB (~6000K),3.00,0.00,,https://s.click.aliexpress.com/e/_oBrhtF0,https://s.click.aliexpress.com/e/_DEqdHEt,https://s.click.aliexpress.com/e/_opHiULM,
,2x waterproof LED lens (90 degree),4.47,2.32,,for US,for US (not tested),https://s.click.aliexpress.com/e/_DlTtKAv,
,Buoyancy foam (10mm),4.27,0.00,,https://s.click.aliexpress.com/e/_okNslAm,https://s.click.aliexpress.com/e/_onDBJWZ,https://s.click.aliexpress.com/e/_DFa69R7,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,9x 18650 batteries,10.74,18.96,,https://s.click.aliexpress.com/e/_okgFG0t,https://www.18650batterystore.com/products/samsung-25r-18650,https://www.tme.com/ux/en-us/details/accu-inr18650-25r/rechargeable-batteries/samsung-sdi/inr-18650-25r/,this one needs to be disassembled
,BLS connector (Dupont) 2x20,1.85,0.00,,https://s.click.aliexpress.com/e/_DcynHvJ,cheaper but longer delivery,https://s.click.aliexpress.com/e/_oF27AzW,
,BLS connector (Dupont) 1x4,2.02,0.00,,https://s.click.aliexpress.com/e/_DcynHvJ,also cheaper but longer delivery,https://s.click.aliexpress.com/e/_oF27AzW,
,2x BLS connector (Dupont) 1x3,1.88,0.00,,https://s.click.aliexpress.com/e/_DcynHvJ,also cheaper but longer delivery,https://s.click.aliexpress.com/e/_oF27AzW,
,8x BLS pin female (Dupont),1.55,0.00,,https://s.click.aliexpress.com/e/_DcynHvJ,cheaper but longer delivery,https://s.click.aliexpress.com/e/_oF27AzW,
,ESC 4in1 (25A+),31.75,0.00,,https://s.click.aliexpress.com/e/_oo4KMif,https://s.click.aliexpress.com/e/_DdPK3vJ,https://s.click.aliexpress.com/e/_DFZhoo1,
,2 x ESC 1in1 (30A+),4.81,0.00,,https://s.click.aliexpress.com/e/_DkRcx6d,https://www.amazon.com/Accessories-LittleBee-BLHeli_S-Controller-Support/dp/B089ZTJ7L9/ref=sr_1_3?crid=3Q1GEEBLDAVVW&keywords=BLHeli-s%2BSPRING%2B20A&qid=1656501497&sprefix=blheli-s%2Bspring%2B20a%2Caps%2C150&sr=8-3&th=1,https://www.aliexpress.com/item/2255800001568515.html?spm=a2g0o.order_list.0.0.3f151802m7fEjq&gatewayAdapt=4itemAdapt,
,Raspberry Pi 3B/4B/5,63.33,0.00,,AliEx for US,https://s.click.aliexpress.com/e/_okIBPdi,https://www.amazon.com/dp/B07TD43PDZ/ref=twister_B07TN34PCN?_encoding=UTF8&psc=1,
,Heatsinks for Raspberry Pi,1.23,0.00,,https://s.click.aliexpress.com/e/_oEb5EHe,https://s.click.aliexpress.com/e/_olcqT7T,https://s.click.aliexpress.com/e/_oDKnmwz,
,Fuse 80A,2.70,0.00,,https://s.click.aliexpress.com/e/_DCVjoeV,https://s.click.aliexpress.com/e/_DEV8WDJ,https://s.click.aliexpress.com/e/_De5gVQd,
,Pixhawk,83.43,0.00,,https://s.click.aliexpress.com/e/_olQjRWl,https://s.click.aliexpress.com/e/_DdTW9Zr,https://s.click.aliexpress.com/e/_om4QWzx,
,Pixhawk Power module,4.16,0.00,,https://s.click.aliexpress.com/e/_DlLL5cl,https://s.click.aliexpress.com/e/_DdJPDBP,https://s.click.aliexpress.com/e/_oE4LCPf,
,4x LED driver (3W),1.56,0.00,,https://s.click.aliexpress.com/e/_DdCBRCv,https://www.aliexpress.com/item/2251832638960124.html?spm=a2g0o.order_list.0.0.3f151802m7fEjq&gatewayAdapt=4itemAdapt,"https://www.aliexpress.us/item/3256807371606668.html?gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.436742.0&scm_id=1007.40196.436742.0&scm-url=1007.40196.436742.0&pvid=f523d51b-6717-4342-998c-ffaaf2f51e27&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.436742.0,pvid:f523d51b-6717-4342-998c-ffaaf2f51e27,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22:%223%22,%22eval%22:%221%22,%22sceneId%22:%2230050%22%7D&pdp_npi=4@dis!USD!4.53!2.58!!!32.39!18.44!@21038da617464476074238809e1107!12000041285122842!rec!US!2500224974!XZ&utparam-url=scene:pcDetailTopMoreOtherSeller%7Cquery_from:",
,Micro-SD card 16GB,4.83,1.99,,https://s.click.aliexpress.com/e/_DEIyz3R,https://www.amazon.com/SanDisk-2-Pack-microSDHC-Memory-2x32GB/dp/B08GY9NYRM/ref=sr_1_5?crid=3NXRBMBZAIJL0&keywords=sd%2Bcard%2B32gb&qid=1656502438&sprefix=sd%2Bcard%2B32g%2Caps%2C216&sr=8-5&th=1,https://s.click.aliexpress.com/e/_on4A1ud,
,USB type A connector,6.99,0.00,,https://www.amazon.com/SJZBIN-Breakout-Adapter-Female-Socket/dp/B09N8X9N4Y/ref=sr_1_8,local electronics store,https://www.aliexpress.us/item/2251832738470618.html?algo_pvid=8f0983d6-7ad4-43df-9a33-1ca0e34ba6b4&algo_exp_id=8f0983d6-7ad4-43df-9a33-1ca0e34ba6b4-2&pdp_npi=4@dis!PLN!6.49!6.49!!!1.61!1.61!@211b6c4f17286574378671722e9ce5!66109925232!sea!PL!1871191539!X&curPageLogUid=3GxOARdv3Spb&utparam-url=scene:search%7Cquery_from:&gatewayAdapt=pol2usa4itemAdapt,
,MOSFET IRF1404,2.19,0.00,,https://s.click.aliexpress.com/e/_olPmgFO,https://s.click.aliexpress.com/e/_oFIoTs9,local electronics store,
,Aluminium plate piece (3mm thick),1.87,0.00,,https://s.click.aliexpress.com/e/_DdBXwm9,local hardware store,https://s.click.aliexpress.com/e/_olQd5Df,
,10KΩ resistor,1.29,0.00,,https://s.click.aliexpress.com/e/_Den9DVf,local electronics store,https://s.click.aliexpress.com/e/_oD3DUIz,
Tether & charger,WEIPU Connector male (WF-16 TE 10pin),4.64,13.11,,https://www.elecbee.com/en-47827-10pin-te-male-plug-wf16-straight-plug-with-metal-clamping-nut-waterproof-connector?search=Wf16%20waterproof,https://www.ebay.com/itm/276726435926,cheapest option,
,WEIPU Connector female (WF-16 ZM 10pin),3.86,,,https://www.elecbee.com/en-47893-round-flange-panel-socket-female-receptacle-zm-10pin-wf16-aviation-waterproof-connector,https://www.ebay.com/itm/276726435926,cheapest option,
,WEIPU Connector male (WF-16 TI 10pin),3.93,,,https://www.elecbee.com/en-47884-10pin-ti-male-plug-wf16-with-cable-clamping-plates-straight-plug-waterproof-connector,https://www.ebay.com/itm/276512789882,cheapest option,
,Charger for 3S Battery,39.00,0.00,,https://www.amazon.com/Battery-Balance-Charger-Discharger-Digital/dp/B0F6MP2Q5D/ref=sr_1_8,expensive but very useful charger,https://s.click.aliexpress.com/e/_DlFG0HB,
,charger cable (4 wire JST-XH),3.20,0.00,,https://s.click.aliexpress.com/e/_DlCAinB,https://s.click.aliexpress.com/e/_DEqOxs1,https://s.click.aliexpress.com/e/_DFSsINf,
Surface control,PS4 controller knockoff,26.97,0.00,,https://s.click.aliexpress.com/e/_onezo6d,https://s.click.aliexpress.com/e/_oFRzCvb,https://www.amazon.com/Sony-PlayStation-Dualshock-Wireless-Controller-Black/dp/B00D82Z4YO/ref=sr_1_3?crid=1IHGGWY4WSRPJ&keywords=ps4+controller+black&qid=1661702597&sprefix=ps4+contoller+bla%2Caps%2C310&sr=8-3,
,Computer,,,,,,,
Supplies,,#REF!,#REF!,,,,,
,BOM : ,,,,,,,
