,name ,amount ,cost of a unit ($) 💵,shipping to US ($) ✈️,photo 🖼️,primary source,other source 1,other source 2,description 📝,,,,,,,,,,,,,,,,,,
Miscellaneous,silicone grease,2g,2.32,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_Dl6oYzF,https://s.click.aliexpress.com/e/_omPdcPA,You only need 1 pcs. This will be used for o-ring lubrication.,,,,,,,,,,,,,,,,,,#REF!
,soldering wire,1 roll,3.44,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_DmMH3U5,https://s.click.aliexpress.com/e/_oodYi8C,You need this to solder.,,,,,,,,,,,,,,,,,,#REF!
,solder wick,some,1.88,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_DEpHWbJ,,Pick the 4mm width option. You need this for soldering as well.,,,,,,,,,,,,,,,,,,#REF!
,Epoxy,120g total,25.00,0.00,,https://www.amazon.com/Gallon-Resistant-Crystal-Coating-Casting/dp/B0D264VMQZ/ref=sr_1_1_sspa,https://www.amazon.com/Crystal-Non-Toxic-Scratching-Yellowing-Tumblers/dp/B086GFRS4C/ref=sr_1_7?crid=1RZ75QZTI3WOM&keywords=epoxy%2Bresin%2B2%3A1%2B15oz&qid=1656681278&sprefix=epoxy%2Bresin%2B2%2B1%2B15oz%2Caps%2C163&sr=8-7&th=1,https://s.click.aliexpress.com/e/_oneUbji,https://s.click.aliexpress.com/e/_DmQdPBF,"Depending of which epoxy you buy, you will need to mix the components in different ratios. This Epoxy is used to seal various connections in the drone, like the 3D printed Endcaps and sealing electrical connections.",,,,,,,,,,,,,,,,,#REF!
,1-minute epoxy,6g,2.54,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_olqLLbE,https://s.click.aliexpress.com/e/_DezfTQj,https://s.click.aliexpress.com/e/_DkGXzDh,,,,,,,,,,,,,,,,,,#REF!
,Heat-shrink black 6mm,1m,2.95,0.00,,https://s.click.aliexpress.com/e/_oECQU52,https://s.click.aliexpress.com/e/_DEWErfT,local hardware shop,,,,,,,,,,,,,,,,,,,#REF!
,Heat-shrink black 3mm,1m,2.26,1.42,,https://s.click.aliexpress.com/e/_oECQU52,https://s.click.aliexpress.com/e/_DEWErfT,local hardware shop,,,,,,,,,,,,,,,,,,,#REF!
,Heat-shrink yellow/green 2.5mm,1m,1.81,0.00,,https://s.click.aliexpress.com/e/_omENBws,https://s.click.aliexpress.com/e/_DCrXrS1,local hardware shop,,,,,,,,,,,,,,,,,,,#REF!
,Heat-shrink orange or red 2.5mm,1m,1.74,0.00,,https://s.click.aliexpress.com/e/_omENBws,https://s.click.aliexpress.com/e/_Dmns4Uv,local hardware shop,,,,,,,,,,,,,,,,,,,#REF!
,Insulation tape,1 roll,1.41,0.00,,local hardware shop,https://www.aliexpress.com/item/3256803342798839.html?spm=a2g0o.productlist.0.0.30be3456deRYnL&algo_pvid=894b7393-d369-446d-9c2d-433e851ffb4f&algo_exp_id=894b7393-d369-446d-9c2d-433e851ffb4f-8&pdp_ext_f=%7B%22sku_id%22%3A%2212000026184760584%22%7D&pdp_npi=2%40dis%21USD%21%213.15%21%21%21%21%21%402100bde316566821096703483e1bf8%2112000026184760584%21sea,https://s.click.aliexpress.com/e/_oC5MwjW,,,,,,,,,,,,,,,,,,,#REF!
,hot glue,some,2.89,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_DBR7uqd,"https://www.aliexpress.us/item/2251832826380439.html?aem_p4p_detail=202506030456076916417953553500005558577&algo_pvid=3fdf0dd1-1462-416c-ad76-8de8ae04c626&algo_exp_id=3fdf0dd1-1462-416c-ad76-8de8ae04c626-0&pdp_ext_f=%7B%22order%22:%222030%22,%22eval%22:%221%22%7D&pdp_npi=4@dis!USD!2.96!2.89!!!2.96!2.89!@211b807017489517674042627e0ed4!12000036087114795!sea!US!2500224974!X&curPageLogUid=WOO9usXkwyfF&utparam-url=scene:search%7Cquery_from:&search_p4p_id=202506030456076916417953553500005558577_1",,,,,,,,,,,,,,,,,,,#REF!
,zip-ties,5x,1.21,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_DBvxny5,https://s.click.aliexpress.com/e/_opvbQXq,,,,,,,,,,,,,,,,,,,#REF!
,thread lock 243 (blue),a little,1.84,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_DcGGaTn,https://s.click.aliexpress.com/e/_ood3Bfa,,,,,,,,,,,,,,,,,,,#REF!
,thermal paste,a little,2.06,0.00,,local hardware shop,https://s.click.aliexpress.com/e/_DBCxKOz,https://s.click.aliexpress.com/e/_omtXGVK,,,,,,,,,,,,,,,,,,,#REF!
,solder heat-shrink red (waterproof),45,3.73,2.33,,https://s.click.aliexpress.com/e/_DFYb3pR,,,,,,,,,,,,,,,,,,,,,#REF!
,solder heat-shrink white (waterproof),16,1.87,,,https://s.click.aliexpress.com/e/_DmC6wE9,,,,,,,,,,,,,,,,,,,,,#REF!
,PLA filament,1488g,36.00,0.00,,Prusa Filament PLA,Bambulab Filament PLA,https://s.click.aliexpress.com/e/_Ddm0pSl,https://s.click.aliexpress.com/e/_DlK2eVn,,,,,,,,,,,,,,,,,,#REF!
,PET-G filament,200g,10.00,0.00,,Prusa Filament PETG,Bambulab Filament PETG,https://s.click.aliexpress.com/e/_DnaMakz,,,,,,,,,,,,,,,,,,,#REF!
,cable braid 4mm,20cm max,1.48,0.00,,https://s.click.aliexpress.com/e/_DBu4SNT,https://s.click.aliexpress.com/e/_oFrg1tq,local hardware shop,,,,,,,,,,,,,,,,,,,#REF!
,M3 Nuts and Bolts,,,,,https://www.amazon.com/iExcell-Stainless-Metric-Socket-Washers/dp/B0812TYT5L/ref=sr_1_4,,,,,,,,,,,,,,,,,,,,,
,glue stick/double side tape,,1.00,0.00,,local hardware shop,,,,,,,,,,,,,,,,,,,,,#REF!
Cables,CAT6 ethernet cable,40m,20.77,0.00,,https://www.aliexpress.us/item/3256804948964898.html?aff_fcid=1b236dfd05be4b70893ffad50df3ecdd-1789319057195-08607-_DeSxagB&tt=CPS_NORMAL&aff_fsk=_DeSxagB&aff_platform=shareComponent-detail&sk=_DeSxagB&aff_trace_key=1b236dfd05be4b70893ffad50df3ecdd-1789319057195-08607-_DeSxagB&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,"more expensive, but definitely will work, because they say it's a stranded core",https://allegro.pl/oferta/kabel-instalacyjny-linka-cat-6-u-utp-cca-100m-14013301395,,,,,,,,,,,,,,,,,,,#REF!
,CAT6 ethernet cable,1m,1.77,0.00,,https://s.click.aliexpress.com/e/_DeSxagB,https://s.click.aliexpress.com/e/_EzQRcBV,,,,,,,,,,,,,,,,,,,,#REF!
,USB C breakout board,2,8.00,0.00,,https://www.amazon.com/MTDELE-Connector-Adapter-Breakout-Compatible/dp/B0F3WWTX78/ref=sr_1_1_sspa?crid=O2MGAJDZ275J&dib=eyJ2IjoiMSJ9.tSO1pD0vgsChmcr3V056RyPvvwh6YeB3DHtFP43l6Nq9YVyYrTMjqtKxUe_4--JkvFoyPlZSkaWJmC8Ubk5d2WQb2E4qTnSu2_wLqu9pCTSzygQDYRqyFFA-KVtBI-fpRCuPy0B3mn-bTRJmMSpZJP_Dho00D-JSnG5sepS2mj0gW6zGLUM7XfRhebzb54JwXP77nxUjDsudx4mpN2WFq3RM-kd5WAbjZu-Axn5Lw0s.l8SDCM8yQYcBTrKOx0vZ9CKT9v1CjgqujR6icLBMS74&dib_tag=se&keywords=USB+C+breakout&qid=1789314658&sprefix=usb+c+breakout%2Caps%2C180&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,,,,,,,,,,,,,,,,,,,,,
,USB cable - Pixhawk,0.15m,1.38,0.00,,https://s.click.aliexpress.com/e/_Dd5Sy7J,"https://pl.aliexpress.com/item/1005007471071240.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.5.3e5cHGumHGumkD&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.442820.0&scm_id=1007.40196.442820.0&scm-url=1007.40196.442820.0&pvid=07859a59-ea3d-4934-99e1-12ce04aabef3&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.442820.0,pvid:07859a59-ea3d-4934-99e1-12ce04aabef3,tpp_buckets:668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%22113%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=6%40dis%21PLN%219.29%219.29%21%21%212.48%212.48%21%4021038e1e17546402353597180e31ea%2112000040889202694%21rec%21PL%211871191539%21XZ%211%210%21n_tag%3A-29919%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A",,,,,,,,,,,,,,,,,,,,#REF!
,jumper wire (male to male),2x,2.14,0.00,,https://s.click.aliexpress.com/e/_DmS5sY1,local electronics store,,,,,,,,,,,,,,,,,,,,#REF!
,28AWG flat cable (4 strand),1.21 m,0.94,1.03,,https://s.click.aliexpress.com/e/_DF0erLF,https://s.click.aliexpress.com/e/_DFGtDCH,https://s.click.aliexpress.com/e/_DkEX87P,,,,,,,,,,,,,,,,,,,#REF!
,20AWG Red black  silicone cable pair,9.41 m,4.32,3.36,,https://www.aliexpress.us/item/3256801546041992.html?algo_pvid=46c050dd-d1be-4b6a-a948-e54854ac5ea7&aem_p4p_detail=202307102255489053901670642920000060879&algo_exp_id=46c050dd-d1be-4b6a-a948-e54854ac5ea7-6&pdp_npi=3%40dis%21USD%214.46%213.57%21%21%214.46%21%21%402100b18f16890549484678781d075f%2112000029019902350%21sea%21US%212500224974&curPageLogUid=ldUpIKAgMQDk&search_p4p_id=202307102255489053901670642920000060879_7&aff_fcid=6d108930ef114eef912d19065822103b-1789314752726-02701-_DnEousN&tt=CPS_NORMAL&aff_fsk=_DnEousN&aff_platform=portals-tool&sk=_DnEousN&aff_trace_key=6d108930ef114eef912d19065822103b-1789314752726-02701-_DnEousN&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,https://s.click.aliexpress.com/e/_DmF9A9F,https://s.click.aliexpress.com/e/_DenJz5F,,,,,,,,,,,,,,,,,,,#REF!
,12AWG black silicone cable,0.31 m,2.26,0.00,,https://www.aliexpress.us/item/3256801546041992.html?algo_pvid=46c050dd-d1be-4b6a-a948-e54854ac5ea7&aem_p4p_detail=202307102255489053901670642920000060879&algo_exp_id=46c050dd-d1be-4b6a-a948-e54854ac5ea7-6&pdp_npi=3%40dis%21USD%214.46%213.57%21%21%214.46%21%21%402100b18f16890549484678781d075f%2112000029019902350%21sea%21US%212500224974&curPageLogUid=ldUpIKAgMQDk&search_p4p_id=202307102255489053901670642920000060879_7&aff_fcid=6d108930ef114eef912d19065822103b-1789314752726-02701-_DnEousN&tt=CPS_NORMAL&aff_fsk=_DnEousN&aff_platform=portals-tool&sk=_DnEousN&aff_trace_key=6d108930ef114eef912d19065822103b-1789314752726-02701-_DnEousN&terminal_id=cfae530396944c74a68c23f949e29dae&afSmartRedirect=y&gatewayAdapt=glo2usa,https://s.click.aliexpress.com/e/_DdyxtPT,https://s.click.aliexpress.com/e/_DenJz5F,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
